sample,sample_ID,time,plot,block,treatment,farming_system,pH ,WC,BD,WHC,PO4_P,total P,total N,total C,C:N,NLFA,root DW,N roots,C roots,crop biomass,plant height,weed cover,N shoots,C shoots
S25,T1.RC.2,T1,2,A,RC,CONMIN,6.45,16.03,1.17,37.61,9.00E-04,0.8,0.15,1.45,9.78,4.81,153.89,1.42,38.96,4.18,50.75,0,3.03,43.42
S26,T1.R.2,T1,2,A,R,CONMIN,6.39,14.26,1.19,38.83,9.00E-04,0.8,0.15,1.44,9.79,5.64,31.59,1.27,39.42,3.61,48.38,0,2.71,43.54
S27,T1.C.2,T1,2,A,C,CONMIN,6.37,16.36,1.15,39.21,9.00E-04,0.78,0.15,1.41,9.65,6.84,153.89,1.51,36.52,3.51,47.5,0,2.7,43.26
S28,T1.RC.8,T1,8,A,RC,BIODYN,6.61,19.32,1.13,43.78,0.0014,0.72,0.17,1.7,9.54,5.88,48.15,1.29,41.46,4.21,56.25,20,3.12,42.72
S29,T1.R.8,T1,8,A,R,BIODYN,6.6,18.99,1.19,40.76,9.00E-04,0.73,0.17,1.64,9.48,6.01,32.87,1.68,40.51,4.21,53.13,15,3.35,42.85
S30,T1.C.8,T1,8,A,C,BIODYN,6.62,21.13,1.16,43.3,9.00E-04,0.74,0.18,1.63,9.43,6.5,36.69,1.28,40.4,3.72,50.25,30,3.03,42.14
S31,T1.RC.42,T1,42,B,RC,CONMIN,5.75,14.5,1.25,37.49,0.001,0.83,0.11,1.12,9.86,3.28,231.59,1.5,37.82,5.17,51.5,5,3.11,43.37
S32,T1.R.42,T1,42,B,R,CONMIN,5.72,12.69,1.31,34.9,9.00E-04,0.79,0.11,1.11,9.71,3.92,136.05,1.36,32.09,4.94,49.38,0,2.7,43.83
S33,T1.C.42,T1,42,B,C,CONMIN,5.76,17.45,1.24,36.29,0.001,0.78,0.12,1.19,9.81,3.49,81.27,1.61,39.93,4.31,52.38,8,3.37,43.91
S34,T1.RC.48,T1,48,B,RC,BIODYN,6.48,19.3,1.18,40.4,0.0011,0.78,0.16,1.5,9.6,4.89,31.59,1.33,39.66,4.78,55.5,60,2.68,42.35
S35,T1.R.48,T1,48,B,R,BIODYN,6.6,16.75,1.2,39.79,0.0012,0.79,0.17,1.66,9.48,7.77,152.61,1.48,40.14,3.97,58.5,30,2.76,42.4
S36,T1.C.48,T1,48,B,C,BIODYN,6.43,23.25,1.2,40.55,0.001,0.76,0.15,1.45,9.71,4.8,76.18,1.52,40.17,4.15,52.5,80,2.67,43.57
S37,T1.RC.52,T1,52,C,RC,BIODYN,6.8,18.93,1.13,45.45,0.001,0.82,0.17,1.59,9.53,8.06,48.15,1.34,40.92,5.26,55.5,60,2.74,42.49
S38,T1.R.52,T1,52,C,R,BIODYN,6.76,16.8,1.21,40.5,9.00E-04,0.77,0.15,1.45,9.41,8.46,197.2,1.27,38.94,5.8,56.25,60,2.73,42.64
S39,T1.C.52,T1,52,C,C,BIODYN,6.6,22.17,1.15,43.54,0.0011,0.79,0.16,1.57,9.54,5.21,41.78,1.42,37.65,6.83,59.5,60,2.69,42.84
S40,T1.RC.58,T1,58,C,RC,CONMIN,5.86,15.6,1.21,38.89,0.0012,0.85,0.13,1.25,9.69,5.1,241.78,1.26,37.81,4.71,49.5,1,2.63,43.22
S41,T1.R.58,T1,58,C,R,CONMIN,5.91,13.12,1.24,38.92,0.001,0.8,0.13,1.2,9.46,4.54,18.85,1.55,39.54,5.37,51.5,0,2.88,43.32
S42,T1.C.58,T1,58,C,C,CONMIN,5.86,16.4,1.28,37.54,0.0012,0.88,0.13,1.28,9.5,3.97,82.55,1.37,37.83,4.39,49.63,1,2.77,43.37
S43,T1.RC.86,T1,86,D,RC,BIODYN,6.63,20.99,1.29,36.28,0.001,0.88,0.18,1.67,9.26,7.19,16.31,1.39,40.33,6.56,58.63,50,2.87,42.13
S44,T1.R.86,T1,86,D,R,BIODYN,6.56,16.57,1.27,38.24,0.0012,0.91,0.18,1.68,9.28,7.54,51.97,1.31,38.94,5.48,58.25,90,2.75,42.92
S45,T1.C.86,T1,86,D,C,BIODYN,6.75,20.89,1.23,38.79,0.001,0.9,0.18,1.7,9.36,9.06,100.38,1.41,40.35,8.26,59.5,40,2.83,43.57
S46,T1.RC.92,T1,92,D,RC,CONMIN,5.91,15.31,1.26,36.39,0.0012,0.9,0.14,1.29,9.42,5.83,90.19,1.28,34.55,4.63,48,1,3.02,44.83
S47,T1.R.92,T1,92,D,R,CONMIN,6.22,14.72,1.22,38.58,0.0011,0.84,0.13,1.25,9.45,6.46,142.42,1.21,36.6,3.99,45.75,3,2.79,44.48
S48,T1.C.92,T1,92,D,C,CONMIN,6.11,18.18,1.27,37.18,0.0011,0.85,0.13,1.27,9.61,4.66,124.59,1.22,37.49,2.09,36.38,0,2.7,44.64
S73,T3.RC.2,T3,2,A,RC,CONMIN,6.45,12.02,1.17,37.61,9.00E-04,0.8,0.15,1.45,9.78,5.32,131.97,1,45.06,18.96,122.63,0,1.42,44.23
S74,T3.R.2,T3,2,A,R,CONMIN,6.39,10.06,1.19,38.83,9.00E-04,0.8,0.15,1.44,9.79,13.36,141.02,1,45.3,14.01,109.25,0,1.81,44.29
S75,T3.C.2,T3,2,A,C,CONMIN,6.37,14.72,1.15,39.21,9.00E-04,0.78,0.15,1.41,9.65,3.75,111.72,0.84,44.94,16.81,118.5,0,1.2,42.53
S76,T3.RC.8,T3,8,A,RC,BIODYN,6.61,14.42,1.13,43.78,0.0014,0.72,0.17,1.7,9.54,22.08,69.68,0.77,45.39,17.23,129.75,0,0.98,43.4
S77,T3.R.8,T3,8,A,R,BIODYN,6.6,9.32,1.19,40.76,9.00E-04,0.73,0.17,1.64,9.48,26.78,97.2,0.78,44.25,14.99,123,5,1.15,43.72
S78,T3.C.8,T3,8,A,C,BIODYN,6.62,14.69,1.16,43.3,9.00E-04,0.74,0.18,1.63,9.43,17.03,89.55,0.75,46.19,16.4,123.25,5,0.82,43.16
S79,T3.RC.42,T3,42,B,RC,CONMIN,5.75,10.04,1.25,37.49,0.001,0.83,0.11,1.12,9.86,3.35,54.27,1.06,44.65,20.86,113.5,5,1.44,44.23
S80,T3.R.42,T3,42,B,R,CONMIN,5.72,7.2,1.31,34.9,9.00E-04,0.79,0.11,1.11,9.71,6.08,76.18,0.9,44.74,17.4,117.75,1,1.38,44.48
S81,T3.C.42,T3,42,B,C,CONMIN,5.76,14.15,1.24,36.29,0.001,0.78,0.12,1.19,9.81,3.02,64.2,0.95,44.62,15.6,118,0,1.3,43.69
S82,T3.RC.48,T3,48,B,RC,BIODYN,6.48,10.94,1.18,40.4,0.0011,0.78,0.16,1.5,9.6,19.52,81.4,0.87,42.62,16.79,122.25,1,0.9,43.36
S83,T3.R.48,T3,48,B,R,BIODYN,6.6,8.91,1.2,39.79,0.0012,0.79,0.17,1.66,9.48,25,110.57,0.81,43.59,16.52,119.75,1,0.81,43.62
S84,T3.C.48,T3,48,B,C,BIODYN,6.43,12.31,1.2,40.55,0.001,0.76,0.15,1.45,9.71,11.42,110.19,0.79,42.47,17.46,119.25,5,1.2,43.55
S85,T3.RC.52,T3,52,C,RC,BIODYN,6.8,14.96,1.13,45.45,0.001,0.82,0.17,1.59,9.53,22.51,103.44,0.96,44.08,19.59,126,2,0.82,43.16
S86,T3.R.52,T3,52,C,R,BIODYN,6.76,8.86,1.21,40.5,9.00E-04,0.77,0.15,1.45,9.41,30.03,88.79,0.86,44.38,18.19,124.5,2,1.1,43.08
S87,T3.C.52,T3,52,C,C,BIODYN,6.6,11.39,1.15,43.54,0.0011,0.79,0.16,1.57,9.54,16.46,110.7,0.8,45.02,16.66,123.5,5,0.83,43.33
S88,T3.RC.58,T3,58,C,RC,CONMIN,5.86,12.16,1.21,38.89,0.0012,0.85,0.13,1.25,9.69,6.32,77.2,0.96,43.38,17.96,111.5,0,1.39,43.42
S89,T3.R.58,T3,58,C,R,CONMIN,5.91,9.06,1.24,38.92,0.001,0.8,0.13,1.2,9.46,5.8,155.29,1.11,43.48,21.62,120.25,0,1.17,41.98
S90,T3.C.58,T3,58,C,C,CONMIN,5.86,14.38,1.28,37.54,0.0012,0.88,0.13,1.28,9.5,4.15,105.61,0.91,43.22,16.23,112,0,1.31,45.85
S91,T3.RC.86,T3,86,D,RC,BIODYN,6.63,11.29,1.29,36.28,0.001,0.88,0.18,1.67,9.26,17.13,83.95,0.69,43.45,17.36,125.5,5,0.89,45.15
S92,T3.R.86,T3,86,D,R,BIODYN,6.56,10.47,1.27,38.24,0.0012,0.91,0.18,1.68,9.28,17.24,109.55,0.87,43.49,22.43,128.75,0,1.16,44.83
S93,T3.C.86,T3,86,D,C,BIODYN,6.75,14.39,1.23,38.79,0.0012,0.9,0.18,1.7,9.36,14.8,91.34,0.8,42.79,20.12,125.75,5,1.13,44.28
S94,T3.RC.92,T3,92,D,RC,CONMIN,5.91,10.13,1.26,36.39,0.0012,0.9,0.14,1.29,9.42,3.23,84.97,1.35,42.88,17.48,116,0,1.52,45.38
S95,T3.R.92,T3,92,D,R,CONMIN,6.22,9,1.22,38.58,0.0011,0.84,0.13,1.25,9.45,10.83,81.15,0.85,43.74,15.66,116.75,0,1.26,45.64
S96,T3.C.92,T3,92,D,C,CONMIN,6.11,10.73,1.27,37.18,0.0011,0.85,0.13,1.27,9.61,6.18,85.48,0.87,42.85,19.38,116.5,0,1.58,45.53
